survey,country,year,Other_Surveys,Completion_DHS_MICS,Completion_DHS_MICS_Note,OutOfSchool_DHS_MICS,DHS_MICS_Note
ACS,United States,2015-2017,UIS calculations for all categories. ,,,,
AIS,Mozambique,2015,GEM Report calculations for all categories,,,,
CASEN,Chile,2000,GEM Report calculations for all categories,,,,
CASEN,Chile,2011,GEM Report calculations for all categories,,,,
CASEN,Chile,2013,GEM Report calculations for all categories,,,,
CASEN,Chile,2015,GEM Report calculations for all categories,,,,
CASEN,Chile,2003-2017,UIS calculations for all categories. ,,,,
Census,Argentina,2010,UIS calculations for all categories. ,,,,
Census,Cambodia,2008,UIS calculations for all categories. ,,,,
Census,Cameroon,2005,UIS calculations for all categories. ,,,,
Census,Chile,2002,UIS calculations for all categories. ,,,,
Census,El Salvador,2007,UIS calculations for all categories. ,,,,
Census,Ethiopia,2007,UIS calculations for all categories. ,,,,
Census,Fiji,2007,UIS calculations for all categories. ,,,,
Census,Ghana,2010,UIS calculations for all categories. ,,,,
Census,Guinea,1996,UIS calculations for all categories. ,,,,
Census,Haiti,2003,UIS calculations for all categories. ,,,,
Census,Jamaica,2001,UIS calculations for all categories. ,,,,
Census,Kenya,2009,UIS calculations for all categories. ,,,,
Census,Liberia,2008,UIS calculations for all categories. ,,,,
Census,Malawi,2008,UIS calculations for all categories. ,,,,
Census,Mali,2009,UIS calculations for all categories. ,,,,
Census,Paraguay,2002,UIS calculations for all categories. ,,,,
Census,Philippines,2000,UIS calculations for all categories. ,,,,
Census,Puerto Rico,2010,UIS calculations for all categories. ,,,,
Census,Rwanda,2002,UIS calculations for all categories. ,,,,
Census,Senegal,2002,UIS calculations for all categories. ,,,,
Census,Sierra Leone,2004,UIS calculations for all categories. ,,,,
Census,Thailand,2000,UIS calculations for all categories. ,,,,
Census,U. R. Tanzania,2002,UIS calculations for all categories. ,,,,
Census,Uganda,2002,UIS calculations for all categories. ,,,,
Census,United States,2010,UIS calculations for all categories. ,,,,
Census,Viet Nam,2009,UIS calculations for all categories. ,,,,
Census,Zambia,2010,UIS calculations for all categories. ,,,,
CFPS,China,2010,GEM Report calculations for all categories,,,,
CFPS,China,2012,GEM Report calculations for all categories,,,,
CFPS,China,2014,GEM Report calculations for all categories,,,,
CFPS,China,2016,GEM Report calculations for all categories,,,,
CPS-ASEC,United States,2013,GEM Report calculations for all categories,,,,
CS,South Africa,2011,UIS calculations for all categories. ,,,,
DHS,Afghanistan,2015,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations.",UIS does not report number of observations
DHS,Albania,2009,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Albania,2017,,GEM Report calculations for all categories.,"UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.",GEM Report calculations for all categories.,UIS does not report number of observations
DHS,Angola,2015,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Armenia,2000,,GEM Report calculations for all categories.,"UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.",GEM Report calculations for all categories.,UIS does not report number of observations
DHS,Armenia,2005,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Armenia,2010,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations.",UIS does not report number of observations
DHS,Armenia,2016,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Azerbaijan,2006,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Bangladesh,2000,,GEM Report calculations for all categories.,"UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.",,UIS does not report number of observations
DHS,Bangladesh,2004,,GEM Report calculations for all categories.,"UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.",,UIS does not report number of observations
DHS,Bangladesh,2007,,GEM Report calculations for all categories.,"UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.",,UIS does not report number of observations
DHS,Bangladesh,2011,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Bangladesh,2014,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Benin,2001,,GEM Report calculations for all categories.,"UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.",GEM Report calculations for all categories.,UIS does not report number of observations
DHS,Benin,2006,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Benin,2012,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Benin,2018,,GEM Report calculations for all categories.,"UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.",GEM Report calculations for all categories.,UIS does not report number of observations
DHS,Bolivia,2003,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Bolivia,2008,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Burkina Faso,2003,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Burkina Faso,2010,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Burundi,2010,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Burundi,2017,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations.",UIS does not report number of observations
DHS,Cambodia,2000,,GEM Report calculations for all categories.,"UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.",GEM Report calculations for all categories.,UIS does not report number of observations
DHS,Cambodia,2005,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Cambodia,2010,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Cambodia,2014,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Cameroon,2004,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Cameroon,2011,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Cameroon,2018,,GEM Report calculations for all categories.,"UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.",GEM Report calculations for all categories.,UIS does not report number of observations
DHS,Chad,2004,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations.",UIS does not report number of observations
DHS,Chad,2015,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Colombia,2000,,GEM Report calculations for all categories.,"UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.",GEM Report calculations for all categories.,UIS does not report number of observations
DHS,Colombia,2005,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Colombia,2010,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Colombia,2015,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Comoros,2012,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Congo,2005,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Congo,2011,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Côte d'Ivoire,2012,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,D. R. Congo,2007,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,D. R. Congo,2013,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Dominican Rep.,2002,,GEM Report calculations for all categories.,"UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.",GEM Report calculations for all categories.,UIS does not report number of observations
DHS,Dominican Rep.,2007,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Dominican Rep.,2013,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Egypt,2000,,GEM Report calculations for all categories.,"UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.",GEM Report calculations for all categories.,UIS does not report number of observations
DHS,Egypt,2005,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
DHS,Egypt,2008,,"UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.","UIS does not calculate primary completion rate for the age group 15-24 (comp_prim_1524_m), lower secondary completion rate for the age group 15-24 (comp_lowsec_1524_m) and upper secondary completion rate for the age group 20-29 (comp_upsec_2029_m). When reported, these are GEM report calculations.","UIS calculations for the categories Total, Location, Sex & Wealth and their combinations. GEM Report calculations for the rest of combinations of categories.",UIS does not report number of observations
